VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,trip_distance,total_amount
2,12/1/2018 0:33,12/1/2018 0:36,0.62,-5.3
2,12/1/2018 0:02,12/1/2018 0:02,0.0,-3.8
2,12/1/2018 0:52,12/1/2018 0:57,0.63,-6.3
2,12/1/2018 0:09,12/1/2018 0:09,0.03,-3.8
2,12/1/2018 0:04,12/1/2018 0:08,0.51,-5.8
2,12/1/2018 0:53,12/1/2018 1:30,14.55,-56.93
2,12/1/2018 0:56,12/1/2018 0:57,0.09,-4.3
2,11/30/2018 23:55,11/30/2018 23:56,0.15,-4.3
2,12/1/2018 0:50,12/1/2018 0:53,0.11,-4.8
2,12/1/2018 0:48,12/1/2018 0:59,2.45,-13.3
2,12/1/2018 0:45,12/1/2018 0:45,0.04,-3.8
2,12/1/2018 0:14,12/1/2018 0:19,0.47,-5.8
2,12/1/2018 0:15,12/1/2018 0:21,0.74,-6.8
2,12/1/2018 0:07,12/1/2018 0:16,0.91,-8.3
2,12/1/2018 0:32,12/1/2018 0:35,0.35,-5.3
2,12/1/2018 0:10,12/1/2018 0:28,3.6,-19.56
2,12/1/2018 0:00,12/1/2018 0:01,0.0,-52.8
