VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,PULocationID,DOLocationID,RatecodeID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,New_Total
2,12/1/2018 0:12,12/1/2018 0:36,1,0.0,113.0,193.0,1.0,2.0,2.5,0.5,0.5,0.0,0.0,0.3,3.8,3.8
2,12/1/2018 0:40,12/1/2018 0:41,3,0.0,168.0,168.0,5.0,1.0,65.0,0.0,0.5,60.0,0.0,0.3,125.8,125.8
2,12/1/2018 0:27,12/1/2018 0:29,4,0.0,231.0,231.0,1.0,2.0,3.0,0.5,0.5,0.0,0.0,0.3,4.3,4.3
1,12/1/2018 0:22,12/1/2018 0:22,1,0.0,10.0,10.0,5.0,1.0,20.0,0.0,0.0,4.05,0.0,0.3,24.35,24.35
2,12/1/2018 0:16,12/1/2018 0:17,1,0.0,193.0,193.0,1.0,2.0,2.5,0.5,0.5,0.0,0.0,0.3,3.8,3.8
2,12/1/2018 0:08,12/1/2018 0:08,1,0.0,264.0,233.0,1.0,1.0,2.5,0.5,0.5,1.0,0.0,0.3,4.8,4.8
1,12/1/2018 0:39,12/1/2018 0:54,1,0.0,140.0,229.0,1.0,2.0,2.5,0.5,0.5,0.0,0.0,0.3,3.8,3.8
2,12/1/2018 0:18,12/1/2018 0:18,1,0.0,262.0,262.0,5.0,1.0,10.0,0.0,0.5,2.16,0.0,0.3,12.96,12.96
2,12/1/2018 0:02,12/1/2018 0:02,1,0.0,238.0,238.0,1.0,2.0,2.5,0.5,0.5,0.0,0.0,0.3,3.8,3.8
1,12/1/2018 0:55,12/1/2018 0:56,1,0.0,132.0,132.0,1.0,4.0,2.5,0.5,0.5,0.0,0.0,0.3,3.8,3.8
2,12/1/2018 0:20,12/1/2018 0:20,1,0.0,264.0,41.0,5.0,1.0,10.8,0.0,0.0,2.22,0.0,0.3,13.32,13.320000000000002
2,12/1/2018 0:36,12/1/2018 0:36,1,0.0,265.0,265.0,5.0,1.0,80.0,0.0,0.0,0.0,0.0,0.3,80.3,80.3
